artist_name,track_name,album_name,is_explicit,genres,release_date,track_id,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
Beyoncé,Pretty Hurts,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,7lUA4P03AhwAw40JHkdyGr,0.512,0.2,0.624,-6.761,0.00305,0.000172,0.346,0.0509,11,129.932,1,257653,4
Beyoncé,Haunted,BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,7cioKB5CHVzk09SOtTyn0T,0.313,0.311,0.533,-9.416,0.103,0.00635,0.507,0.166,1,66.93,0,369040,4
"Beyoncé, JAY-Z",Drunk in Love (feat. Jay-Z),BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,6jG2YzhxptolDzLHTGLt7S,0.583,0.399,0.621,-6.902,0.00972,0.00106,0.181,0.0479,5,140.036,0,323480,4
Beyoncé,Blow,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,6wwrYruEgWlowPDZMq5116,0.875,0.776,0.434,-7.683,0.242,0.00147,0.233,0.091,0,120.067,1,309720,4
Beyoncé,No Angel,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,4DActPOAtak2m8meZeMt3B,0.57,0.509,0.467,-9.152,0.0421,0.00253,0.125,0.171,9,111.58,0,228693,1
Beyoncé,Partition,BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,5hgnY0mVcVetszbb85qeDg,0.418,0.172,0.441,-11.522,0.029,0.0707,0.306,0.283,11,175.928,0,319467,4
Beyoncé,Jealous,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,63wKtmUg754umO8SglEL79,0.452,0.227,0.54,-10.087,0.122,0.00462,0.0882,0.229,8,133.774,1,184013,4
Beyoncé,Rocket,BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,0755vnFQZLSgHHWbR1qCjY,0.495,0.563,0.403,-9.732,0.499,0.0,0.7,0.299,1,140.365,1,391907,3
"Beyoncé, Drake",Mine (feat. Drake),BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,63FrXif0Pdu4NAPvTh87mw,0.557,0.0996,0.428,-11.306,0.0673,0.0019,0.144,0.136,5,103.009,1,378600,4
Beyoncé,XO,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,40xhyfAPDoMtv494MfPevP,0.47,0.216,0.793,-8.929,0.164,1.31e-06,0.313,0.26,0,170.1,1,215947,4
"Beyoncé, Chimamanda Ngozi Adichie",***Flawless (feat. Chimamanda Ngozi Adichie),BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,7tefUew2RUuSAqHyegMoY1,0.476,0.353,0.688,-7.799,0.0953,0.000648,0.438,0.245,1,140.555,1,250960,4
"Beyoncé, Frank Ocean",Superpower (feat. Frank Ocean),BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,49sXkAcR5LvOrtq5Qcn5cf,0.525,0.185,0.334,-11.54,0.641,0.0,0.114,0.0686,0,80.307,1,276560,3
Beyoncé,Heaven,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,0fYwfZcgijhIOyXn0RVPwq,0.346,0.0388,0.188,-12.688,0.573,0.0166,0.108,0.0327,6,103.265,0,230893,4
"Beyoncé, Blue Ivy",Blue (feat. Blue Ivy),BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,2LjkT4gu5wO4JdeEYl0fMY,0.499,0.0643,0.434,-10.14,0.541,6.58e-05,0.119,0.0608,6,90.322,1,266920,4
Beyoncé,7/11,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,02M6vucOvmRfMxTXDUwRXu,0.747,0.56,0.705,-5.137,0.0128,0.0,0.126,0.126,9,136.024,0,213507,4
"Beyoncé, Nicki Minaj",Flawless Remix (feat. Nicki Minaj),BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,0zVMzJ37VQNFUNvdxxat2E,0.64,0.457,0.659,-7.273,0.241,8.33e-06,0.484,0.215,8,136.804,1,234413,4
"Beyoncé, JAY-Z, Kanye West",Drunk in Love Remix (feat. Jay-Z & Kanye West),BEYONCÉ [Platinum Edition],True,"pop, r&b",2014-11-24,0FZmAvivvifvtN3pZScbw1,0.508,0.476,0.763,-3.58,0.16,0.0,0.118,0.0516,8,139.653,1,395987,4
Beyoncé,Ring Off,BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,2Z9Yid1RueNo2sHS9x4gdh,0.732,0.709,0.763,-6.732,0.0273,0.0,0.33,0.0729,0,98.011,1,180187,4
"Beyoncé, Pharrell Williams",Blow Remix (feat. Pharrell Williams),BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,0GjDYSp1bNyjggwPadwlyf,0.872,0.763,0.445,-7.631,0.272,0.00119,0.345,0.0936,2,120.029,0,309747,4
"Beyoncé, Mr. Vegas, Clifford Smith, Cleveland Browne, Danny Browne",Standing on the Sun Remix (feat. Mr. Vegas),BEYONCÉ [Platinum Edition],False,"pop, r&b",2014-11-24,7jpSvCrFev9EBb5RSmoRTa,0.664,0.409,0.808,-6.477,0.0225,2.44e-05,0.259,0.0726,0,98.044,1,273480,4
Beyoncé,Love On Top,4,False,"pop, r&b",2011-06-24,1z6WtY7X4HQJvzxC4UgkSf,0.652,0.651,0.749,-5.248,0.0848,0.0,0.604,0.0886,0,94.103,1,267413,4
